feature,importance
"Spoken Languages_['Tiếng Nga', 'Tiếng Hà Lan', 'Tiếng Ý', 'Tiếng Anh']",1.0023399497438663
"Production Countries_['France', 'Guadaloupe', 'Russia', 'Serbia', 'United States of America']",1.0023399497438663
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Hy Lạp', 'Tiếng Nga']",0.9879837223098178
"Production Countries_['Belgium', 'Germany', 'France', 'Romania', 'United Kingdom']",0.9817783294445322
Spoken Languages_['Tiếng Mã Lai'],0.9751152203814057
"Production Countries_['Argentina', 'Spain']",0.9692771852976984
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Nhật']",0.9660937493217052
"Production Countries_['South Korea', 'Spain', 'United Kingdom', 'United States of America']",0.9651776784497477
Production Countries_['Malaysia'],0.9619721463643073
"Production Countries_['China', 'Germany', 'Japan', 'United Kingdom']",0.9604052953558639
release_year,0.9344526748876257
"Production Countries_['Canada', 'United States of America']",0.9273445410558926
"Production Countries_['China', 'Hong Kong', 'United States of America']",0.9163148011323753
"Production Countries_['Hong Kong', 'United States of America']",0.9036705425966363
"Production Countries_['China', 'Colombia', 'Hungary', 'United States of America']",0.8864134950190494
"Production Countries_['United States of America', 'France', 'Japan']",0.8848086962538174
"Production Countries_['United States of America', 'India']",0.8798340496116156
"Production Countries_['South Korea', 'United States of America']",0.8780502488001227
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Đức']",0.8569754637146804
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha']",0.8519479185532187
"Spoken Languages_['Tiếng Anh', 'Tiếng Hy Lạp', 'Tiếng Na Uy', 'Tiếng Tây Ban Nha']",0.8371701630179149
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật']",0.8315808214088103
"Production Countries_['India', 'United Kingdom', 'United States of America']",0.8296596587316248
"Spoken Languages_['Tiếng Anh', 'Tiếng Ba Lan', 'Tiếng Tây Ban Nha']",0.822780802500206
"Production Countries_['Canada', 'France', 'Germany', 'United States of America']",0.8219684620671894
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Anh']",0.8201188706991867
"Production Countries_['Luxembourg', 'United States of America']",0.8201188706991867
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0.8068806415932059
"Production Countries_['Canada', 'Japan', 'New Zealand', 'United States of America']",0.8032298682696305
"Production Countries_['United States of America', 'France']",0.7818126151566437
"Production Countries_['China', 'United States of America', 'United Kingdom']",0.7748400992240976
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Trung']",0.7747165724612329
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức']",0.7697857206783421
"Spoken Languages_['Tiếng Trung', 'Tiếng Hàn', 'Tiếng Nhật']",0.7686666665596111
"Production Countries_['Hong Kong', 'Japan', 'United States of America']",0.7664296707332191
"Spoken Languages_['Tiếng Anh', 'Tiếng Bồ Đào Nha', 'Tiếng Nga']",0.7544873136571474
"Spoken Languages_['Tiếng Anh', 'Tiếng Ả Rập', 'Tiếng Ý', 'Tiếng Nhật']",0.7519084518466888
"Spoken Languages_['Tiếng Ý', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Đức']",0.7484163413980728
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Lào', 'Tiếng Việt']",0.7225727205531842
"Spoken Languages_['Tiếng Anh', 'Tiếng Ukraina']",0.7193307041916965
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp']",0.7147440892915511
"Production Countries_['Canada', 'Hong Kong', 'United States of America']",0.71023092488059
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh']",0.7015850379844301
"Production Countries_['Malta', 'Morocco', 'United States of America']",0.7015850379844301
"Production Countries_['China', 'United Kingdom', 'United States of America']",0.6991135976005608
"Production Countries_['Australia', 'France', 'Hong Kong', 'Thailand']",0.6974134416996142
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Lào', 'Tiếng Việt']",0.6974134416996142
release_season,0.6974119008164749
"Production Countries_['Brazil', 'China', 'United States of America']",0.6936662413069877
"Spoken Languages_['Tiếng Anh', 'Tiếng Na Uy']",0.6936662413069877
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung']",0.6895917765144188
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức']",0.6851031069819445
"Production Countries_['Argentina', 'Chile', 'Mexico', 'Peru']",0.6759229119935458
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Mã Lai', 'Tiếng Lào']",0.6729203668821947
Production Countries_['Hong Kong'],0.6729203668821947
"Production Countries_['Canada', 'France', 'United States of America']",0.6426141885722154
"Production Countries_['Czech Republic', 'United States of America']",0.6424608399020789
"Spoken Languages_['Tiếng Anh', 'Tiếng Phần Lan', 'Tiếng Bồ Đào Nha']",0.641230592764192
"Production Countries_['Finland', 'United Kingdom', 'United States of America']",0.641230592764192
"Production Countries_['Czech Republic', 'South Korea']",0.640389440060706
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Nhật', 'Tiếng Hàn']",0.640389440060706
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga']",0.6246519348683258
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Ý', 'Tiếng Đức']",0.6237784561582829
Spoken Languages_['Tiếng Đức'],0.6229397166855142
"Production Countries_['Canada', 'United Kingdom', 'United States of America']",0.6219500890421437
"Production Countries_['India', 'United States of America']",0.6077390078418539
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh']",0.6050253756316619
"Spoken Languages_['Tiếng Anh', 'Tiếng Urdu']",0.6047883970299424
Production Countries_['India'],0.6037620841020698
