feature,importance
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Lào', 'Tiếng Việt']",0.0
"Production Countries_['Canada', 'France', 'Germany', 'United States of America']",0.0
Production Countries_['Cambodia'],0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', '']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Hàn']",0.0
"Production Countries_['Canada', 'China', 'France', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Na Uy']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào']",0.0
"Production Countries_['Bulgaria', 'United States of America']",0.0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Bồ Đào Nha']",0.0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Pháp']",0.0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Ukraina']",0.0
"Production Countries_['Austria', 'Germany']",0.0
"Production Countries_['Australia', 'United States of America']",0.0
"Production Countries_['Australia', 'United States of America', 'United Kingdom']",0.0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Anh']",0.0
"Production Countries_['Australia', 'United Kingdom']",0.0
"Spoken Languages_['Tiếng Việt', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Việt', 'Tiếng Hàn']",0.0
"Production Countries_['Australia', 'United Kingdom', 'United States of America']",0.0
"Spoken Languages_['Tiếng Ý', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Đức']",0.0
"Production Countries_['Australia', 'Spain', 'United States of America']",0.0
"Spoken Languages_['Tiếng Đức', 'Hong Kong', 'Tiếng Anh', 'Tiếng Trung', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Indonesia', 'Tiếng Ý', 'Tiếng Nhật', 'Latin', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Ba Tư', 'Tiếng Ba Lan', 'Tiếng Tây Ban Nha', 'Tiếng Thổ Nhĩ Kỳ']",0.0
"Production Countries_['Australia', 'Hong Kong', 'United States of America']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Lào']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức']",0.0
