feature,importance
"Spoken Languages_['Hong Kong', 'Tiếng Trung']",0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Hàn', 'Tiếng Pháp', 'Tiếng Anh']",0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh']",0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Đức', 'Tiếng Indonesia', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp']",0
"Spoken Languages_['Hong Kong', 'Tiếng Nhật', 'Tiếng Trung']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Ba Lan']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Hy Lạp', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Ba Lan', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', '', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Việt']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Lào', 'Tiếng Việt']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Hàn']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', '']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Gruzia']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Hàn']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Na Uy']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào', 'Tiếng Trung', 'Hong Kong']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Indonesia']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Iceland', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hàn']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hy Lạp', 'Tiếng Na Uy', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hindi', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hindi', 'Tiếng Trung', 'Tiếng Bồ Đào Nha']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0
"Production Countries_['Belgium', 'Canada', 'Germany', 'United Kingdom']",0
"Production Countries_['Austria', 'Germany']",0
release_year,0
"Production Countries_['Australia', 'United States of America']",0
"Production Countries_['Australia', 'United States of America', 'United Kingdom']",0
"Production Countries_['Australia', 'United Kingdom']",0
"Production Countries_['Australia', 'United Kingdom', 'United States of America']",0
"Production Countries_['Australia', 'Spain', 'United States of America']",0
"Production Countries_['Australia', 'India', 'Singapore', 'United States of America']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Phần Lan', 'Tiếng Nhật', 'Hong Kong']",0
release_month,0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Indonesia', 'Tiếng Ý', 'Tiếng Nhật', 'Latin', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Ba Tư', 'Tiếng Ba Lan', 'Tiếng Tây Ban Nha', 'Tiếng Thổ Nhĩ Kỳ']",0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Lào']",0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức']",0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý', 'Tiếng Nhật']",0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Hindi', 'Latin', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Ả Rập', 'Hong Kong', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Nhật', 'Latin', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0
"Production Countries_['Australia', 'Hong Kong', 'United States of America']",0
"Production Countries_['Canada', 'Germany', 'United Kingdom', 'United States of America']",0
"Production Countries_['Canada', 'Germany', 'United Kingdom', 'United States of America', 'Malaysia', 'Singapore']",0
"Production Countries_['Canada', 'France']",0
"Production Countries_['Canada', 'France', 'United States of America']",0
"Production Countries_['Canada', 'France', 'United Kingdom', 'United States of America']",0
"Production Countries_['Canada', 'France', 'Germany', 'United States of America']",0
"Production Countries_['Canada', 'China', 'United States of America']",0
"Production Countries_['Canada', 'China', 'Hungary', 'South Africa', 'United States of America']",0
"Production Countries_['Canada', 'China', 'France', 'United States of America']",0
"Production Countries_['Belgium', 'China', 'France', 'Germany', 'United States of America']",0
"Production Countries_['Bulgaria', 'United States of America']",0
"Production Countries_['Bulgaria', 'Spain']",0
"Production Countries_['Bulgaria', 'France', 'United States of America']",0
"Production Countries_['Brazil', 'China', 'United States of America']",0
"Production Countries_['Belgium', 'United States of America']",0
"Production Countries_['Belgium', 'United Kingdom', 'United States of America']",0
"Production Countries_['Belgium', 'Germany', 'France', 'Romania', 'United Kingdom']",0
"Production Countries_['Belgium', 'France']",0
"Production Countries_['Belgium', 'Denmark', 'France', 'United States of America']",0
"Production Countries_['Belgium', 'China', 'Spain', 'Switzerland', 'United Kingdom', 'United States of America']",0
Production Countries_['Cambodia'],0
Spoken Languages_['Tiếng Hàn'],0
"Spoken Languages_['Tiếng Hàn', 'Tiếng Thổ Nhĩ Kỳ']",0
"Spoken Languages_['Tiếng Hàn', 'Tiếng Lào', 'Tiếng Tây Ban Nha', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Hà Lan', 'Tiếng Đan Mạch', 'Tiếng Đức', 'Tiếng Pháp', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Hà Lan', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Hy Lạp', 'Tiếng Anh']",0
Spoken Languages_['Tiếng Hindi'],0
"Spoken Languages_['Tiếng Hindi', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Croatia', 'Tiếng Trung', 'Tiếng Pháp', 'Tiếng Anh']",0
Spoken Languages_['Tiếng Đức'],0
"Spoken Languages_['Tiếng Bungari', 'Tiếng Anh']",0
Spoken Languages_['Tiếng Anh'],0
"Spoken Languages_['Tiếng Anh', 'Tiếng Ả Rập', 'Tiếng Ý', 'Tiếng Nhật']",0
